date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160104,25200,25200,24100,24100,15346950,9.35,1.25,14.08,1.014066665,1.0207273,1.003090086,0.98226754,1.000720501,1.002283626,1.000294763,1.00059122
20160105,24040,24360,23720,24160,10800100,9.35,1.25,14.08,1.01509732,1.030704787,1.012278301,0.991927527,1.000419444,1.002215168,1.000242353,1.000455554
20160106,24160,24160,23360,23500,18337600,9.35,1.25,14.08,1.009296016,1.035409317,1.016705214,0.997317133,1.000556042,1.002632979,1.00072556,1.000860912
20160107,23320,23660,23020,23260,14119400,9.35,1.25,14.08,0.996235837,1.024228299,1.005281312,0.98719869,1.0006379,1.002920485,1.00110393,1.001177713
20160108,23260,23720,23260,23420,12888150,9.35,1.25,14.08,1.000425055,1.02750382,1.009328377,0.992360221,0.999908884,1.002072813,1.000534883,1.000541725
20160111,23120,23320,22920,23040,12063850,9.35,1.25,14.08,0.99010717,1.015231668,0.997941439,0.982494461,1.000318863,1.002352973,1.001085725,1.001046175
20160112,22960,23320,22880,22920,10314150,9.35,1.25,14.08,0.988441416,1.008723573,0.992646196,0.978376496,1.000163961,1.002080824,1.001119193,1.001005488
20160113,23060,23180,22960,22960,7165800,9.35,1.25,14.08,1.010499346,1.028342686,1.014319905,1.001019135,1.000282347,1.002043777,1.001382134,1.001193851
20160114,22620,22840,22620,22760,10451100,9.35,1.25,14.08,1.005270677,1.020047393,1.010148205,0.998074168,1.000136618,1.001689856,1.001265906,1.001014901
20160115,22800,23040,22480,22640,10473200,9.35,1.25,14.08,0.999481403,1.010026112,1.003426186,0.992305839,0.999863394,1.001267658,1.00111397,1.000795331
20160118,21760,22660,21760,22520,16010700,9.35,1.25,14.08,1.004575942,1.015020496,1.011188759,1.001050776,0.999444399,1.000485518,1.000598037,1.000234722
20160119,22560,23420,22560,23420,10362100,9.35,1.25,14.08,0.998159715,1.00975217,1.007545434,0.998723588,0.999790496,1.00057887,1.000894416,1.000496025
20160120,23200,23200,22640,22760,8352600,9.35,1.25,14.08,0.985931244,0.992439032,0.990733923,0.982738571,1.00074686,1.001424096,1.001952991,1.001522603
20160121,22660,23100,22500,22620,9517600,9.35,1.25,14.08,0.985311518,0.986953855,0.985657931,0.978053186,1.000664803,1.001339615,1.002006962,1.001540791
20160122,22900,23360,22900,23360,7376400,9.35,1.25,14.08,0.995076164,0.993973513,0.993648188,0.986277826,1.000682874,1.001398614,1.002250934,1.001733662
